t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
0.780000,-0.084933,-0.108871,0.092290,-0.056468,-0.083037,0.078733,12.004890,-4.956605,-8.326516,-0.298135,-0.279884,0.173094
0.790000,-0.087001,-0.111489,0.094595,-0.057956,-0.085175,0.082495,12.311030,-5.103402,-8.378940,-0.305330,-0.284523,0.158615
0.800000,-0.089090,-0.114132,0.096925,-0.059498,-0.087388,0.086483,12.593796,-5.213909,-8.445498,-0.311339,-0.289574,0.144302
0.810000,-0.091200,-0.116800,0.099280,-0.061044,-0.089646,0.090323,12.864762,-5.321367,-8.488431,-0.317023,-0.294118,0.127974
0.820000,-0.093330,-0.119492,0.101661,-0.062669,-0.091841,0.093312,13.131500,-5.439678,-8.529083,-0.322862,-0.298464,0.113379
0.830000,-0.095481,-0.122209,0.104067,-0.064333,-0.094140,0.096127,13.375789,-5.542794,-8.627160,-0.328118,-0.303673,0.107543
0.840000,-0.097652,-0.124949,0.106497,-0.066058,-0.096456,0.099008,13.596005,-5.654661,-8.707171,-0.333186,-0.308088,0.103706
0.850000,-0.099842,-0.127714,0.108953,-0.067927,-0.098792,0.099875,13.808476,-5.754887,-8.788054,-0.337842,-0.312580,0.099459
0.860000,-0.102053,-0.130502,0.111434,-0.069774,-0.101262,0.101177,13.936704,-5.844698,-8.945654,-0.341260,-0.317093,0.115598
0.870000,-0.104284,-0.133313,0.113940,-0.071663,-0.103799,0.102476,14.066818,-5.956170,-9.053114,-0.345101,-0.320512,0.127626
0.880000,-0.106534,-0.136147,0.116470,-0.073722,-0.106257,0.103105,14.182278,-6.067695,-9.148016,-0.348706,-0.323484,0.139944
0.890000,-0.108803,-0.139005,0.119025,-0.075815,-0.108785,0.103931,14.260391,-6.132459,-9.303609,-0.350808,-0.327476,0.159206
0.900000,-0.111092,-0.141885,0.121605,-0.077816,-0.111451,0.105185,14.331108,-6.197736,-9.438475,-0.352765,-0.330995,0.176733
0.910000,-0.113400,-0.144788,0.124208,-0.079958,-0.114013,0.105997,14.419734,-6.304984,-9.519570,-0.355842,-0.333370,0.190236
0.920000,-0.115727,-0.147712,0.126836,-0.082237,-0.116567,0.107171,14.487999,-6.367662,-9.659268,-0.357688,-0.336989,0.208397
0.930000,-0.118073,-0.150659,0.129489,-0.084507,-0.119238,0.108464,14.541890,-6.390450,-9.799510,-0.358361,-0.340918,0.223176
